"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"102","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"103","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-08,"6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"104","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"105","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"106","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-08,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"107","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"108","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"109","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-09,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"110","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"111","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"112","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-09,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"113","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"114","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"115","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-09,"6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"116","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"117","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"118","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-09,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"119","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"120","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-09,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"121","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-10,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"122","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-10,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"123","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-10,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"124","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-10,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
